B	muFe	ms1	ms2	ms3	ms4	ms5	ms6	ms7	ms8	ms9	ms10
0.998980101010101	9.870009999999999	4.167980540131786e7	4.3749153861433215e7	4.153714267904603e7	4.36842438560816e7	3.086993485986814e7	3.8869769553697705e7	3.1165962808514465e7	3.895789337520316e7	3.543705041724899e7	3.5494646838064305e7
0.998980101010101	10.08001	4.2456951563371815e7	4.456209228158034e7	4.2306216872637205e7	4.4493568420957536e7	3.1431708883966796e7	3.958922264023406e7	3.174478135568579e7	3.968138249322409e7	3.608980078928492e7	3.615114692812293e7
0.998980101010101	10.290009999999999	4.323211644143006e7	4.537290789288081e7	4.307323326007879e7	4.530073638802753e7	3.1991807073144045e7	4.0306746498053595e7	3.232208302157753e7	4.0402974838855065e7	3.674074429578304e7	3.680587796458695e7
0.998980101010101	10.50001	4.400534537348459e7	4.618164939916201e7	4.383823918236855e7	4.610579734803495e7	3.2550268480505887e7	4.1022385521061406e7	3.289790262194229e7	4.112271394911493e7	3.738992266658379e7	3.745888067809886e7
0.998980101010101	10.710009999999999	4.477668177488551e7	4.698836343604066e7	4.460127996729727e7	4.690879878335785e7	3.3107130487102985e7	4.173618221503901e7	3.3472273493772946e7	4.184064151179436e7	3.803737585331105e7	3.811019406647663e7
0.998980101010101	10.92001	4.5546167255945094e7	4.779309469754835e7	4.536239905282474e7	4.770978619719516e7	3.3662428904869184e7	4.244817731336493e7	3.404522758585192e7	4.2556797478691004e7	3.868314213849733e7	3.875985550093658e7
0.998980101010101	11.130009999999999	4.631384173022653e7	4.859588605271969e7	4.6121638100669146e7	4.850880323250714e7	3.4216198071366906e7	4.315840988355562e7	3.461679554212131e7	4.327122016986837e7	3.9327258236044005e7	3.9407900823889144e7
0.998980101010101	11.34001	4.707974351441705e7	4.9396778653112836e7	4.6879037101056665e7	4.930589178170021e7	3.4768470937133215e7	4.38669174255138e7	3.518700677857022e7	4.398394636980605e7	3.9969759383854665e7	4.005436443912209e7
0.998980101010101	11.550009999999999	4.7843909420582205e7	5.019581203212389e7	4.7634634469469205e7	5.0101092087933905e7	3.5319279146331415e7	4.4573735962271556e7	3.575588955425073e7	4.469501141620887e7	4.061067942938542e7	4.0699279395092815e7
0.998980101010101	11.76001	4.860637484151161e7	5.099302419685756e7	4.838846713613574e7	5.0894442838832244e7	3.586865311133202e7	4.52789001239275e7	3.632347103697265e7	4.5404449282160394e7	4.12500509087727e7	4.134267746197328e7
